id,identifier,generation_id,type_id,power,pp,accuracy,priority,target_id,damage_class_id,effect_id,effect_chance,contest_type_id,contest_effect_id,super_contest_effect_id
816,jungle-healing,8,12,0,10,0,0,13,1,1,0,0,0,0
817,wicked-blow,8,17,80,5,100,0,10,2,1,0,0,0,0
818,surging-strikes,8,11,25,5,100,0,10,2,1,0,0,0,0
819,thunder-cage,8,13,80,15,90,0,10,3,1,100,0,0,0
820,dragon-energy,8,16,150,5,100,0,11,3,1,0,0,0,0
821,freezing-glare,8,14,90,10,100,0,10,3,1,10,0,0,0
822,fiery-wrath,8,17,90,10,100,0,11,3,1,20,0,0,0
823,thunderous-kick,8,2,90,10,100,0,10,2,1,100,0,0,0
824,glacial-lance,8,15,130,5,100,0,11,2,1,0,0,0,0
825,astral-barrage,8,8,120,5,100,0,11,3,1,0,0,0,0
826,eerie-spell,8,14,80,5,100,0,10,3,1,0,0,0,0
827,dire-claw,8,4,80,15,100,0,10,2,0,0,0,0,0
828,psyshield-bash,8,14,70,10,90,0,10,2,0,0,0,0,0
829,power-shift,8,1,0,10,0,0,7,1,0,0,0,0,0
830,stone-axe,8,6,65,15,90,0,10,2,0,0,0,0,0
831,springtide-storm,8,18,100,5,80,0,11,3,0,0,0,0,0
832,mystical-power,8,14,70,10,90,0,10,3,0,0,0,0,0
833,raging-fury,8,10,120,10,100,0,8,2,0,0,0,0,0
834,wave-crash,8,11,120,10,100,0,10,2,0,0,0,0,0
835,chloroblast,8,12,150,5,95,0,10,3,0,0,0,0,0
836,mountain-gale,8,15,100,10,85,0,10,2,0,0,0,0,0
837,victory-dance,8,2,0,10,0,0,7,1,0,0,0,0,0
838,headlong-rush,8,5,120,5,100,0,10,2,0,0,0,0,0
839,barb-barrage,8,4,60,10,100,0,10,2,0,0,0,0,0
840,esper-wing,8,14,80,10,100,0,10,3,0,0,0,0,0
841,bitter-malice,8,8,75,10,100,0,10,3,0,0,0,0,0
842,shelter,8,9,0,10,0,0,7,1,0,0,0,0,0
843,triple-arrows,8,2,90,10,100,0,10,2,0,0,0,0,0
844,infernal-parade,8,8,60,15,100,0,10,3,0,0,0,0,0
845,ceaseless-edge,8,17,65,15,90,0,10,2,0,0,0,0,0
846,bleakwind-storm,8,3,100,10,80,0,11,3,0,0,0,0,0
847,wildbolt-storm,8,13,100,10,80,0,11,3,0,0,0,0,0
848,sandsear-storm,8,5,100,10,80,0,11,3,0,0,0,0,0
849,lunar-blessing,8,14,0,5,0,0,15,1,0,0,0,0,0
850,take-heart,8,14,0,10,0,0,15,1,0,0,0,0,0
851,tera-blast,9,1,80,10,100,0,10,3,0,0,0,0,0
852,silk-trap,9,7,0,10,0,4,7,1,0,0,0,0,0
853,axe-kick,9,2,120,10,90,0,10,2,0,0,0,0,0
854,last-respects,9,8,50,10,100,0,10,2,0,0,0,0,0
855,lumina-crash,9,14,80,10,100,0,10,3,0,0,0,0,0
856,order-up,9,16,80,10,100,0,10,2,0,0,0,0,0
857,jet-punch,9,11,60,15,100,1,10,2,0,0,0,0,0
858,spicy-extract,9,12,0,15,0,0,10,1,0,0,0,0,0
859,spin-out,9,9,100,5,100,0,10,2,0,0,0,0,0
860,population-bomb,9,1,20,10,90,0,10,2,0,0,0,0,0
861,ice-spinner,9,15,80,15,100,0,10,2,0,0,0,0,0
862,glaive-rush,9,16,120,5,100,0,10,2,0,0,0,0,0
863,revival-blessing,9,1,0,1,0,0,16,1,0,0,0,0,0
864,salt-cure,9,6,40,15,100,0,10,2,0,0,0,0,0
865,triple-dive,9,11,30,10,95,0,10,2,0,0,0,0,0
866,mortal-spin,9,4,30,15,100,0,11,2,0,0,0,0,0
867,doodle,9,1,0,10,100,0,10,1,0,0,0,0,0
868,fillet-away,9,1,0,10,0,0,7,1,0,0,0,0,0
869,kowtow-cleave,9,17,85,10,0,0,10,2,0,0,0,0,0
870,flower-trick,9,12,70,10,0,0,10,2,0,0,0,0,0
871,torch-song,9,10,80,10,100,0,10,3,0,0,0,0,0
872,aqua-step,9,11,80,10,100,0,10,2,0,0,0,0,0
873,raging-bull,9,1,90,10,100,0,10,2,0,0,0,0,0
874,make-it-rain,9,9,120,5,100,0,11,3,0,0,0,0,0
875,pound,9,1,40,35,100,0,10,2,0,0,0,0,0
876,pound,9,1,40,35,100,0,10,2,0,0,0,0,0
877,ruination,9,17,1,10,90,0,10,3,0,0,0,0,0
878,collision-course,9,2,100,5,100,0,10,2,0,0,0,0,0
879,electro-drift,9,13,100,5,100,0,10,3,0,0,0,0,0
880,shed-tail,9,1,0,10,0,0,7,1,0,0,0,0,0
881,chilly-reception,9,15,0,10,0,0,12,1,0,0,0,0,0
882,tidy-up,9,1,0,10,0,0,7,1,0,0,0,0,0
883,snowscape,9,15,0,10,0,0,12,1,0,0,0,0,0
884,pounce,9,7,50,20,100,0,10,2,0,0,0,0,0
885,trailblaze,9,12,50,20,100,0,10,2,0,0,0,0,0
886,chilling-water,9,11,50,20,100,0,10,3,0,0,0,0,0
887,hyper-drill,9,1,100,5,100,0,10,2,0,0,0,0,0
888,twin-beam,9,14,40,10,100,0,10,3,0,0,0,0,0
889,rage-fist,9,8,50,10,100,0,10,2,0,0,0,0,0
890,armor-cannon,9,10,120,5,100,0,10,3,0,0,0,0,0
891,bitter-blade,9,10,90,10,100,0,10,2,0,0,0,0,0
892,double-shock,9,13,120,5,100,0,10,2,0,0,0,0,0
893,gigaton-hammer,9,9,160,5,100,0,10,2,0,0,0,0,0
894,comeuppance,9,17,1,10,100,0,1,2,0,0,0,0,0
895,aqua-cutter,9,11,70,20,100,0,10,2,0,0,0,0,0
896,blazing-torque,9,10,80,10,100,0,10,2,0,0,0,0,0
897,wicked-torque,9,17,80,10,100,0,10,2,0,0,0,0,0
898,noxious-torque,9,4,100,10,100,0,10,2,0,0,0,0,0
899,combat-torque,9,2,100,10,100,0,10,2,0,0,0,0,0
900,magical-torque,9,18,100,10,100,0,10,2,0,0,0,0,0
10001,shadow-rush,3,10002,55,0,100,0,10,2,10001,0,0,0,0
10002,shadow-blast,3,10002,80,0,100,0,10,2,44,0,0,0,0
10003,shadow-blitz,3,10002,40,0,100,0,10,2,1,0,0,0,0
10004,shadow-bolt,3,10002,75,0,100,0,10,3,7,10,0,0,0
10005,shadow-break,3,10002,75,0,100,0,10,2,1,0,0,0,0
10006,shadow-chill,3,10002,75,0,100,0,10,3,6,10,0,0,0
10007,shadow-end,3,10002,120,0,60,0,10,2,10002,0,0,0,0
10008,shadow-fire,3,10002,75,0,100,0,10,3,5,10,0,0,0
10009,shadow-rave,3,10002,70,0,100,0,6,3,1,0,0,0,0
10010,shadow-storm,3,10002,95,0,100,0,6,3,1,0,0,0,0
10011,shadow-wave,3,10002,50,0,100,0,6,3,1,0,0,0,0
10012,shadow-down,3,10002,0,0,100,0,6,1,60,0,0,0,0
10013,shadow-half,3,10002,0,0,100,0,12,3,10003,0,0,0,0
10014,shadow-hold,3,10002,0,0,0,0,6,1,107,0,0,0,0
10015,shadow-mist,3,10002,0,0,100,0,6,1,10004,0,0,0,0
10016,shadow-panic,3,10002,0,0,90,0,6,1,50,0,0,0,0
10017,shadow-shed,3,10002,0,0,0,0,12,1,10005,0,0,0,0
10018,shadow-sky,3,10002,0,0,0,0,12,1,10006,0,0,0,0
